,hcop_ii/hnc_ii,hcop_ii/h13cop_ii,hcop_ii/hn13c_ii,hcop_ii/13cs_ii,hcop_ii/13c34s_ii,hcop_ii/hc13ccn_ii,hcop_ii/hnco404_ii,hcop_ii/ch3cn_ii,hcop_ii/hc3n_ii,hcop_ii/hnco413_ii,hcop_ii/c2h_ii,hcop_ii/sio_ii,hcop_ii/h41a_ii,hnc_ii/hcop_ii,hnc_ii/h13cop_ii,hnc_ii/hn13c_ii,hnc_ii/13cs_ii,hnc_ii/13c34s_ii,hnc_ii/hc13ccn_ii,hnc_ii/hnco404_ii,hnc_ii/ch3cn_ii,hnc_ii/hc3n_ii,hnc_ii/hnco413_ii,hnc_ii/c2h_ii,hnc_ii/sio_ii,hnc_ii/h41a_ii,h13cop_ii/hcop_ii,h13cop_ii/hnc_ii,h13cop_ii/hn13c_ii,h13cop_ii/13cs_ii,h13cop_ii/13c34s_ii,h13cop_ii/hc13ccn_ii,h13cop_ii/hnco404_ii,h13cop_ii/ch3cn_ii,h13cop_ii/hc3n_ii,h13cop_ii/hnco413_ii,h13cop_ii/c2h_ii,h13cop_ii/sio_ii,h13cop_ii/h41a_ii,hn13c_ii/hcop_ii,hn13c_ii/hnc_ii,hn13c_ii/h13cop_ii,hn13c_ii/13cs_ii,hn13c_ii/13c34s_ii,hn13c_ii/hc13ccn_ii,hn13c_ii/hnco404_ii,hn13c_ii/ch3cn_ii,hn13c_ii/hc3n_ii,hn13c_ii/hnco413_ii,hn13c_ii/c2h_ii,hn13c_ii/sio_ii,hn13c_ii/h41a_ii,13cs_ii/hcop_ii,13cs_ii/hnc_ii,13cs_ii/h13cop_ii,13cs_ii/hn13c_ii,13cs_ii/13c34s_ii,13cs_ii/hc13ccn_ii,13cs_ii/hnco404_ii,13cs_ii/ch3cn_ii,13cs_ii/hc3n_ii,13cs_ii/hnco413_ii,13cs_ii/c2h_ii,13cs_ii/sio_ii,13cs_ii/h41a_ii,13c34s_ii/hcop_ii,13c34s_ii/hnc_ii,13c34s_ii/h13cop_ii,13c34s_ii/hn13c_ii,13c34s_ii/13cs_ii,13c34s_ii/hc13ccn_ii,13c34s_ii/hnco404_ii,13c34s_ii/ch3cn_ii,13c34s_ii/hc3n_ii,13c34s_ii/hnco413_ii,13c34s_ii/c2h_ii,13c34s_ii/sio_ii,13c34s_ii/h41a_ii,hc13ccn_ii/hcop_ii,hc13ccn_ii/hnc_ii,hc13ccn_ii/h13cop_ii,hc13ccn_ii/hn13c_ii,hc13ccn_ii/13cs_ii,hc13ccn_ii/13c34s_ii,hc13ccn_ii/hnco404_ii,hc13ccn_ii/ch3cn_ii,hc13ccn_ii/hc3n_ii,hc13ccn_ii/hnco413_ii,hc13ccn_ii/c2h_ii,hc13ccn_ii/sio_ii,hc13ccn_ii/h41a_ii,hnco404_ii/hcop_ii,hnco404_ii/hnc_ii,hnco404_ii/h13cop_ii,hnco404_ii/hn13c_ii,hnco404_ii/13cs_ii,hnco404_ii/13c34s_ii,hnco404_ii/hc13ccn_ii,hnco404_ii/ch3cn_ii,hnco404_ii/hc3n_ii,hnco404_ii/hnco413_ii,hnco404_ii/c2h_ii,hnco404_ii/sio_ii,hnco404_ii/h41a_ii,ch3cn_ii/hcop_ii,ch3cn_ii/hnc_ii,ch3cn_ii/h13cop_ii,ch3cn_ii/hn13c_ii,ch3cn_ii/13cs_ii,ch3cn_ii/13c34s_ii,ch3cn_ii/hc13ccn_ii,ch3cn_ii/hnco404_ii,ch3cn_ii/hc3n_ii,ch3cn_ii/hnco413_ii,ch3cn_ii/c2h_ii,ch3cn_ii/sio_ii,ch3cn_ii/h41a_ii,hc3n_ii/hcop_ii,hc3n_ii/hnc_ii,hc3n_ii/h13cop_ii,hc3n_ii/hn13c_ii,hc3n_ii/13cs_ii,hc3n_ii/13c34s_ii,hc3n_ii/hc13ccn_ii,hc3n_ii/hnco404_ii,hc3n_ii/ch3cn_ii,hc3n_ii/hnco413_ii,hc3n_ii/c2h_ii,hc3n_ii/sio_ii,hc3n_ii/h41a_ii,hnco413_ii/hcop_ii,hnco413_ii/hnc_ii,hnco413_ii/h13cop_ii,hnco413_ii/hn13c_ii,hnco413_ii/13cs_ii,hnco413_ii/13c34s_ii,hnco413_ii/hc13ccn_ii,hnco413_ii/hnco404_ii,hnco413_ii/ch3cn_ii,hnco413_ii/hc3n_ii,hnco413_ii/c2h_ii,hnco413_ii/sio_ii,hnco413_ii/h41a_ii,c2h_ii/hcop_ii,c2h_ii/hnc_ii,c2h_ii/h13cop_ii,c2h_ii/hn13c_ii,c2h_ii/13cs_ii,c2h_ii/13c34s_ii,c2h_ii/hc13ccn_ii,c2h_ii/hnco404_ii,c2h_ii/ch3cn_ii,c2h_ii/hc3n_ii,c2h_ii/hnco413_ii,c2h_ii/sio_ii,c2h_ii/h41a_ii,sio_ii/hcop_ii,sio_ii/hnc_ii,sio_ii/h13cop_ii,sio_ii/hn13c_ii,sio_ii/13cs_ii,sio_ii/13c34s_ii,sio_ii/hc13ccn_ii,sio_ii/hnco404_ii,sio_ii/ch3cn_ii,sio_ii/hc3n_ii,sio_ii/hnco413_ii,sio_ii/c2h_ii,sio_ii/h41a_ii,h41a_ii/hcop_ii,h41a_ii/hnc_ii,h41a_ii/h13cop_ii,h41a_ii/hn13c_ii,h41a_ii/13cs_ii,h41a_ii/13c34s_ii,h41a_ii/hc13ccn_ii,h41a_ii/hnco404_ii,h41a_ii/ch3cn_ii,h41a_ii/hc3n_ii,h41a_ii/hnco413_ii,h41a_ii/c2h_ii,h41a_ii/sio_ii
0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,
454,inf,inf,inf,inf,inf,inf,0.6930615444923559,inf,inf,inf,inf,inf,inf,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,1.4428733031674208,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,
455,1.3140442132639791,2.9247467438494934,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.7610094012864919,2.22575976845152,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.34190994557149923,0.44928478543563066,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
456,0.0,,,,,,,,,,,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
457,0.22606060606060607,0.9009661835748792,inf,0.9764397905759162,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.423592493297587,3.9855072463768115,inf,4.319371727748691,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.1099195710455763,0.2509090909090909,inf,1.0837696335078533,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,,,,,,,,,,1.0241286863270778,0.23151515151515153,0.9227053140096619,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,
458,0.0,,,,,,0.0,,0.0,,,0.0,,inf,inf,inf,inf,inf,inf,1.695132488479263,inf,2.6053563523683048,inf,inf,1.502744797650964,inf,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,,inf,0.5899243904511086,inf,inf,inf,inf,inf,inf,1.536963258078796,inf,inf,0.8865058087578195,inf,,0.0,,,,,,0.0,0.0,,,0.0,,inf,0.38382465381021147,inf,inf,inf,inf,inf,0.6506336405529953,inf,inf,inf,0.5767905017234776,inf,,0.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,inf,0.6654489847931356,inf,inf,inf,inf,inf,1.1280241935483872,inf,1.7337317397078353,inf,inf,inf,,0.0,,,,,,0.0,,0.0,,,0.0
459,1.4909456740442655,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.6707152496626181,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
460,0.0,,,,,,,,,,,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
461,1.1490800024864798,14.95267947421638,13.93010550113037,inf,inf,inf,3.038962640253175,10.67740072202166,3.84069187616871,inf,3.0468518213284983,5.700485698866703,inf,0.8702614246493826,13.012740141557128,12.122833458929918,inf,inf,inf,2.644691956762977,9.292129963898917,3.3424059837938915,inf,2.651557606724905,4.960912805489168,inf,0.06687764569048295,0.07684776527631007,0.9316126601356444,inf,inf,inf,0.20323866672146645,0.7140794223826715,0.2568564305007272,inf,0.20376627657821,0.38123506283247244,inf,0.07178696528313114,0.08248896624603717,1.0734074823053588,inf,inf,inf,0.21815790555258724,0.7664981949458484,0.275711614377727,inf,0.2187242459205538,0.40922056896152953,inf,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.32905965567141365,0.3781158699571082,4.920323559150657,4.583835719668425,inf,inf,inf,3.5135018050541515,1.2638167463120715,inf,1.0025960112081753,1.875799861228895,inf,0.09365575255947309,0.10761795238391247,1.4004044489383214,1.3046345139412208,inf,inf,inf,0.2846163330730344,0.3597028880116352,inf,0.28535520026372174,0.533883278081875,inf,0.2603697542635344,0.29918567787654626,3.893225480283114,3.6269781461944235,inf,inf,inf,0.791253955858781,2.780072202166065,inf,0.7933080599967034,1.4842340605967157,inf,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.32820762499830947,0.37713681854913905,4.9075834175935285,4.571966842501884,inf,inf,inf,0.9974107106160865,3.504404332129964,1.2605443590276335,inf,1.8709428725618689,inf,0.17542364858468237,0.20157580655187418,2.6230535894843277,2.443669932177845,inf,inf,inf,0.5331059142657515,1.8730685920577619,0.6737481820070642,inf,0.53448986319433,inf,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0
462,5.121212121212121,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.1952662721893491,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
