,ag_id,ag_name,ag_long,ag_lat,ag_flux_peak,classification,Vc,nNL,tau,dtau,hcop_D,hcop_NG,hcop_Tastar,hcop_dTastar,hcop_Vlsr,hcop_dVlsr,hcop_fwhm,hcop_dfwhm,hcop_ii,hcop_dii,hcop_signoise,hcop_Pfit,hcop_iisnr,hcop_Rf,hcop_HR,hcop_Rs,hnc_D,hnc_NG,hnc_Tastar,hnc_dTastar,hnc_Vlsr,hnc_dVlsr,hnc_fwhm,hnc_dfwhm,hnc_ii,hnc_dii,hnc_signoise,hnc_Pfit,hnc_iisnr,hnc_Rf,hnc_HR,hnc_Rs,n2hp_D,n2hp_NG,n2hp_Tastar,n2hp_dTastar,n2hp_Vlsr,n2hp_dVlsr,n2hp_fwhm,n2hp_dfwhm,n2hp_ii,n2hp_dii,n2hp_signoise,n2hp_Pfit,n2hp_iisnr,n2hp_Rf,n2hp_HR,n2hp_Rs,hcn_D,hcn_NG,hcn_Tastar,hcn_dTastar,hcn_Vlsr,hcn_dVlsr,hcn_fwhm,hcn_dfwhm,hcn_ii,hcn_dii,hcn_signoise,hcn_Pfit,hcn_iisnr,hcn_Rf,hcn_HR,hcn_Rs,h13cop_D,h13cop_NG,h13cop_Tastar,h13cop_dTastar,h13cop_Vlsr,h13cop_dVlsr,h13cop_fwhm,h13cop_dfwhm,h13cop_ii,h13cop_dii,h13cop_signoise,h13cop_Pfit,h13cop_iisnr,h13cop_Rf,h13cop_HR,h13cop_Rs,hn13c_D,hn13c_NG,hn13c_Tastar,hn13c_dTastar,hn13c_Vlsr,hn13c_dVlsr,hn13c_fwhm,hn13c_dfwhm,hn13c_ii,hn13c_dii,hn13c_signoise,hn13c_Pfit,hn13c_iisnr,hn13c_Rf,hn13c_HR,hn13c_Rs,13cs_D,13cs_NG,13cs_Tastar,13cs_dTastar,13cs_Vlsr,13cs_dVlsr,13cs_fwhm,13cs_dfwhm,13cs_ii,13cs_dii,13cs_signoise,13cs_Pfit,13cs_iisnr,13cs_Rf,13cs_HR,13cs_Rs,13c34s_D,13c34s_NG,13c34s_Tastar,13c34s_dTastar,13c34s_Vlsr,13c34s_dVlsr,13c34s_fwhm,13c34s_dfwhm,13c34s_ii,13c34s_dii,13c34s_signoise,13c34s_Pfit,13c34s_iisnr,13c34s_Rf,13c34s_HR,13c34s_Rs,hc13ccn_D,hc13ccn_NG,hc13ccn_Tastar,hc13ccn_dTastar,hc13ccn_Vlsr,hc13ccn_dVlsr,hc13ccn_fwhm,hc13ccn_dfwhm,hc13ccn_ii,hc13ccn_dii,hc13ccn_signoise,hc13ccn_Pfit,hc13ccn_iisnr,hc13ccn_Rf,hc13ccn_HR,hc13ccn_Rs,hnco404_D,hnco404_NG,hnco404_Tastar,hnco404_dTastar,hnco404_Vlsr,hnco404_dVlsr,hnco404_fwhm,hnco404_dfwhm,hnco404_ii,hnco404_dii,hnco404_signoise,hnco404_Pfit,hnco404_iisnr,hnco404_Rf,hnco404_HR,hnco404_Rs,ch3cn_D,ch3cn_NG,ch3cn_Tastar,ch3cn_dTastar,ch3cn_Vlsr,ch3cn_dVlsr,ch3cn_fwhm,ch3cn_dfwhm,ch3cn_ii,ch3cn_dii,ch3cn_signoise,ch3cn_Pfit,ch3cn_iisnr,ch3cn_Rf,ch3cn_HR,ch3cn_Rs,hc3n_D,hc3n_NG,hc3n_Tastar,hc3n_dTastar,hc3n_Vlsr,hc3n_dVlsr,hc3n_fwhm,hc3n_dfwhm,hc3n_ii,hc3n_dii,hc3n_signoise,hc3n_Pfit,hc3n_iisnr,hc3n_Rf,hc3n_HR,hc3n_Rs,hnco413_D,hnco413_NG,hnco413_Tastar,hnco413_dTastar,hnco413_Vlsr,hnco413_dVlsr,hnco413_fwhm,hnco413_dfwhm,hnco413_ii,hnco413_dii,hnco413_signoise,hnco413_Pfit,hnco413_iisnr,hnco413_Rf,hnco413_HR,hnco413_Rs,c2h_D,c2h_NG,c2h_Tastar,c2h_dTastar,c2h_Vlsr,c2h_dVlsr,c2h_fwhm,c2h_dfwhm,c2h_ii,c2h_dii,c2h_signoise,c2h_Pfit,c2h_iisnr,c2h_Rf,c2h_HR,c2h_Rs,sio_D,sio_NG,sio_Tastar,sio_dTastar,sio_Vlsr,sio_dVlsr,sio_fwhm,sio_dfwhm,sio_ii,sio_dii,sio_signoise,sio_Pfit,sio_iisnr,sio_Rf,sio_HR,sio_Rs,h41a_D,h41a_NG,h41a_Tastar,h41a_dTastar,h41a_Vlsr,h41a_dVlsr,h41a_fwhm,h41a_dfwhm,h41a_ii,h41a_dii,h41a_signoise,h41a_Pfit,h41a_iisnr,h41a_Rf,h41a_HR,h41a_Rs
855,AG0856,AGAL014.686-00.222_B,14.686,-0.222,0.88,Q,57.66,1,0.0,0.0,Y,1,0.259,0.035,57.667,0.141,2.146,0.331,0.593,0.129,0.107,0.026,4.59,0.932,0,55,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14
697,AG0698,AGAL010.684-00.307_S,10.684,-0.307,0.92,Q,-1.59,4,0.47,0.95,Y,1,0.951,0.043,-1.409,0.059,2.642,0.139,2.851,0.184,0.147,0.1,15.475,1.491,0,48,Y,1,0.496,0.038,-1.617,0.119,3.075,0.28,1.723,0.17,0.141,0.501,10.147,0.887,0,57,Y,3,0.372,0.042,-2.002,0.104,2.123,0.243,1.793,0.217,0.141,0.838,8.256,0.708,0,78,Y,3,0.35,0.034,-1.776,0.239,4.204,0.422,2.557,0.238,0.147,0.758,10.73,0.932,0,17,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,279,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27
704,AG0705,AGAL010.752-00.197_S,10.752,-0.197,0.73,Q,32.27,4,0.12,0.44,Y,1,0.538,0.053,32.691,0.082,1.696,0.192,1.359,0.193,0.144,0.257,7.053,1.419,0,42,Y,1,0.561,0.041,32.313,0.102,2.796,0.24,2.029,0.193,0.146,0.541,10.537,1.395,0,46,Y,3,0.615,0.037,31.868,0.081,2.959,0.173,3.52,0.241,0.146,0.352,14.63,0.883,0,36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Y,3,0.209,0.034,31.748,0.317,4.06,0.746,1.381,0.321,0.152,0.822,4.305,1.066,0,33,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2956,AG2957,AGAL350.721+00.046_S,350.721,0.046,0.92,Q,0.0,0,0.0,0.0,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,71,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19
2954,AG2955,AGAL350.719+00.024_S,350.719,0.024,2.02,Q,0.0,0,0.0,0.0,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,74,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15
711,AG0712,AGAL010.991-00.082_S,10.991,-0.082,1.22,Q,29.53,7,0.88,0.23,Y,1,0.281,0.023,28.324,0.219,5.553,0.515,2.16,0.192,0.114,0.177,11.25,1.479,0,45,Y,2,0.749,0.056,29.653,1.679,4.588,0.229,2.339,0.136,0.107,0.0,17.249,1.441,0,50,Y,3,0.838,0.028,29.633,0.043,2.986,0.092,5.192,0.178,0.112,0.006,29.132,1.414,0,34,Y,1,0.143,0.013,28.984,0.823,15.003,2.163,2.506,0.206,0.115,0.384,12.189,1.227,0,47,Y,1,0.23,0.033,29.433,0.208,2.808,0.49,0.692,0.139,0.118,0.844,4.983,0.985,0,37,Y,1,0.263,0.035,29.743,0.175,2.262,0.413,0.559,0.126,0.116,0.786,4.452,1.017,0,21,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,M,3,0.127,0.03,29.393,0.248,2.979,0.585,0.851,0.216,0.119,0.316,3.937,1.101,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51
715,AG0716,AGAL011.064-00.099_S,11.064,-0.099,0.85,Q,29.63,5,0.49,0.36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68,Y,1,0.521,0.035,29.837,0.091,2.71,0.214,1.503,0.152,0.122,0.389,9.877,1.246,0,62,Y,3,0.662,0.033,29.463,0.052,2.509,0.121,3.317,0.191,0.12,0.046,17.387,1.208,0,61,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57,M,1,0.246,0.048,29.613,0.162,1.558,0.381,0.46,0.131,0.127,0.947,3.519,0.779,0,37,Y,1,0.369,0.06,29.512,0.088,0.998,0.206,0.587,0.135,0.129,0.117,4.367,1.299,0,57,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,M,3,0.171,0.036,29.803,0.28,2.49,0.66,0.662,0.216,0.128,0.689,3.059,1.14,0,44,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18
2951,AG2952,AGAL350.697-00.459_S,350.697,-0.459,3.2,Q,-18.35,4,1.4,2.03,Y,1,0.885,0.073,-18.337,0.088,2.152,0.206,1.944,0.271,0.227,0.434,7.186,0.943,0,21,Y,1,0.754,0.079,-18.44,0.106,1.976,0.25,2.056,0.29,0.239,0.0,7.086,1.011,0,21,M,3,0.32,0.077,-18.168,0.194,2.206,0.457,1.33,0.385,0.251,0.771,3.451,1.064,0,83,Y,3,0.49,0.072,-17.946,0.141,1.976,0.324,2.096,0.372,0.23,0.444,5.632,0.967,0,36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17
718,AG0719,AGAL011.094-00.106_S,11.094,-0.106,0.64,Q,28.55,4,1.12,0.68,Y,1,0.481,0.043,28.16,0.093,2.069,0.219,1.114,0.155,0.131,0.348,7.196,0.96,0,87,Y,1,0.569,0.041,28.521,0.079,2.182,0.185,1.484,0.15,0.129,0.703,9.891,1.213,0,56,Y,3,0.381,0.036,29.072,0.103,2.545,0.234,2.017,0.207,0.135,0.647,9.738,0.964,0,17,Y,3,0.218,0.037,28.531,0.204,2.58,0.456,1.258,0.217,0.134,0.242,5.79,1.085,0,33,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23
724,AG0725,AGAL011.304-00.059_S,11.304,-0.059,0.63,Q,31.66,3,0.49,0.82,Y,1,0.201,0.032,31.672,0.283,3.574,0.666,0.747,0.142,0.128,0.919,5.245,0.895,0,63,Y,1,0.215,0.033,32.098,0.236,3.064,0.555,0.643,0.136,0.123,0.967,4.74,0.764,0,54,Y,3,0.37,0.034,31.395,0.107,2.574,0.243,1.927,0.206,0.127,0.959,9.334,0.885,0,22,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42,N,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,N,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17
