,column,class1,class2,stat,p_value
0,hcop_ii/hnc_ii,Q,A,0.0916795701951952,0.014191438617095372
1,hcop_ii/hnc_ii,Q,C,0.07745535714285715,0.4960343806727058
2,hcop_ii/hnc_ii,Q,H,0.14607520969721768,1.1699771536276095e-05
3,hcop_ii/hnc_ii,Q,P,0.2595874898208469,6.838028990131341e-12
4,hcop_ii/hnc_ii,Q,U,0.20288129456327986,3.9224778248137754e-10
5,hcop_ii/hnc_ii,A,C,0.047876447876447875,0.9399756256855152
6,hcop_ii/hnc_ii,A,H,0.08563719202017074,0.017250961071134392
7,hcop_ii/hnc_ii,A,P,0.2152918390703407,5.044487700322869e-09
8,hcop_ii/hnc_ii,A,U,0.17297779062484944,1.9391673506546902e-08
9,hcop_ii/hnc_ii,C,H,0.10182370820668693,0.17424090414724547
10,hcop_ii/hnc_ii,C,P,0.19781293624941834,0.0008851657779048767
11,hcop_ii/hnc_ii,C,U,0.18139801375095493,0.0010164942356297292
12,hcop_ii/hnc_ii,H,P,0.14209631244768814,0.0004524494269084916
13,hcop_ii/hnc_ii,H,U,0.11243658302481832,0.001100185915875418
14,hcop_ii/hnc_ii,P,U,0.07576047890284333,0.19216889901962
15,hcop_ii/h13cop_ii,Q,A,0.06416420118343195,0.8098984074376394
16,hcop_ii/h13cop_ii,Q,C,0.11614583333333334,0.8557996403447113
17,hcop_ii/h13cop_ii,Q,H,0.13053843896713616,0.11750240800170654
18,hcop_ii/h13cop_ii,Q,P,0.2947982594936709,0.0002946085932398679
19,hcop_ii/h13cop_ii,Q,U,0.29369212962962965,5.7003544057135555e-05
20,hcop_ii/h13cop_ii,A,C,0.10611439842209074,0.88127882047617
21,hcop_ii/h13cop_ii,A,H,0.0910214740117232,0.21237213322237772
22,hcop_ii/h13cop_ii,A,P,0.2537263126357576,0.0004015954677999653
23,hcop_ii/h13cop_ii,A,U,0.25684856454087224,3.003175603981374e-05
24,hcop_ii/h13cop_ii,C,H,0.10234741784037558,0.916671907261308
25,hcop_ii/h13cop_ii,C,P,0.2708860759493671,0.06589738048072763
26,hcop_ii/h13cop_ii,C,U,0.2574074074074074,0.07356695304576946
27,hcop_ii/h13cop_ii,H,P,0.17792832947049386,0.04478161697866592
28,hcop_ii/h13cop_ii,H,U,0.20461658841940533,0.0040645328384279885
29,hcop_ii/h13cop_ii,P,U,0.10548523206751055,0.6403690233575441
30,hcop_ii/hn13c_ii,Q,A,0.15126050420168066,0.1173371549235883
31,hcop_ii/hn13c_ii,Q,C,0.15476190476190477,0.8197011358516256
32,hcop_ii/hn13c_ii,Q,H,0.2688113413304253,0.0009247080154088241
33,hcop_ii/hn13c_ii,Q,P,0.36355311355311354,0.0011709366081888834
34,hcop_ii/hn13c_ii,Q,U,0.430952380952381,2.3521295841624567e-06
35,hcop_ii/hn13c_ii,A,C,0.1781045751633987,0.6086638100261317
36,hcop_ii/hn13c_ii,A,H,0.1771441400987876,0.01138698970209502
37,hcop_ii/hn13c_ii,A,P,0.2549019607843137,0.022875405459175963
38,hcop_ii/hn13c_ii,A,U,0.34215686274509804,2.4975372697766346e-05
